[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 017@127.0.0.1      :54766 disconnected
[19/05/17 022:29:45] 014@127.0.0.1      :54672 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 063@127.0.0.1      :54790 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 018@127.0.0.1      :54680 disconnected
[19/05/17 022:29:45] 043@127.0.0.1      :54746 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 041@127.0.0.1      :54742 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 052@127.0.0.1      :54764 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 025@127.0.0.1      :54696 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 063@127.0.0.1      :54790 disconnected
[19/05/17 022:29:45] 023@127.0.0.1      :54690 disconnected
[19/05/17 022:29:45] 055@127.0.0.1      :54774 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 039@127.0.0.1      :54738 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 040@127.0.0.1      :54740 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 011@127.0.0.1      :54666 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 060@127.0.0.1      :54784 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 020@127.0.0.1      :54684 disconnected
[19/05/17 022:29:45] 028@127.0.0.1      :54714 disconnected
[19/05/17 022:29:45] 029@127.0.0.1      :54718 disconnected
[19/05/17 022:29:45] 022@127.0.0.1      :54688 disconnected
[19/05/17 022:29:45] 038@127.0.0.1      :54736 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 037@127.0.0.1      :54734 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 010@127.0.0.1      :54702 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 050@127.0.0.1      :54760 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 046@127.0.0.1      :54752 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 044@127.0.0.1      :54748 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 048@127.0.0.1      :54756 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 047@127.0.0.1      :54754 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 051@127.0.0.1      :54762 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 006@127.0.0.1      :54704 disconnected
[19/05/17 022:29:45] 045@127.0.0.1      :54750 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 006@127.0.0.1      :54794 connected
[19/05/17 022:29:45] 007@127.0.0.1      :54796 connected
[19/05/17 022:29:45] 006@127.0.0.1      :54794 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 011@127.0.0.1      :54798 connected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 039@127.0.0.1      :54738 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 036@127.0.0.1      :54732 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 031@127.0.0.1      :54722 disconnected
[19/05/17 022:29:45] 007@127.0.0.1      :54796 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 007@127.0.0.1      :54796 disconnected
[19/05/17 022:29:45] 011@127.0.0.1      :54798 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 061@127.0.0.1      :54786 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 027@127.0.0.1      :54712 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 033@127.0.0.1      :54726 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 034@127.0.0.1      :54728 disconnected
[19/05/17 022:29:45] 035@127.0.0.1      :54792 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 007@127.0.0.1      :54800 connected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 045@127.0.0.1      :54750 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 024@127.0.0.1      :54692 disconnected
